"고용형태","산업분류별",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"고용형태","산업분류별",총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간),총근로시간 (시간)
"전체근로자","전체",189.0,187.0,180.8,173.7,167.9,165.5,173.5,171.1,168.5,156.4,152.4
